country_name,Country Code,Series Name,Series Code,Urban Pop. Rate
Norway,NOR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.091
Norway,NOR,Urban population growth (annual %),SP.URB.GROW,1.48833778
Oman,OMN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.35
Oman,OMN,Urban population growth (annual %),SP.URB.GROW,5.943949572
Pakistan,PAK,Urban population (% of total population),SP.URB.TOTL.IN.ZS,36.026
Pakistan,PAK,Urban population growth (annual %),SP.URB.GROW,1.872792953
Palau,PLW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,78.159
Palau,PLW,Urban population growth (annual %),SP.URB.GROW,0.815800648
Panama,PAN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,66.696
Panama,PAN,Urban population growth (annual %),SP.URB.GROW,2.229713974
Papua New Guinea,PNG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,13.012
Papua New Guinea,PNG,Urban population growth (annual %),SP.URB.GROW,2.727790966
Paraguay,PRY,Urban population (% of total population),SP.URB.TOTL.IN.ZS,60.75
Paraguay,PRY,Urban population growth (annual %),SP.URB.GROW,1.877359341
Peru,PER,Urban population (% of total population),SP.URB.TOTL.IN.ZS,77.357
Peru,PER,Urban population growth (annual %),SP.URB.GROW,1.410371138
Philippines,PHL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,46.284
Philippines,PHL,Urban population growth (annual %),SP.URB.GROW,2.083353285
Poland,POL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,60.278
Poland,POL,Urban population growth (annual %),SP.URB.GROW,-0.273799474
Portugal,PRT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.514
Portugal,PRT,Urban population growth (annual %),SP.URB.GROW,0.500060471
Puerto Rico,PRI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,93.624
Puerto Rico,PRI,Urban population growth (annual %),SP.URB.GROW,-1.788039024
Qatar,QAT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,98.945
Qatar,QAT,Urban population growth (annual %),SP.URB.GROW,8.729014397
Romania,ROU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,53.887
Romania,ROU,Urban population growth (annual %),SP.URB.GROW,-0.494176791
Russian Federation,RUS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,74.05
Russian Federation,RUS,Urban population growth (annual %),SP.URB.GROW,0.414487432
Rwanda,RWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,17.004
Rwanda,RWA,Urban population growth (annual %),SP.URB.GROW,2.603805547
Samoa,WSM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,18.914
Samoa,WSM,Urban population growth (annual %),SP.URB.GROW,-0.339655745
San Marino,SMR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,96.739
San Marino,SMR,Urban population growth (annual %),SP.URB.GROW,0.726264492
Sao Tome and Principe,STP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,70.174
